,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,['北师大北门影潭花园  电梯直达三居室'],1280,127326,"['海淀', '小西天']",3室1厅1厨1卫,中楼层 (共18层),100.53㎡,平层,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,2023-08-15,央产房,2002-06-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年不唯一央产房，楼层适中，格局合理
                  ","
                    北三环中路40号院，又名影潭花园，前身是中影洗印技术厂，2019年部分楼栋进行了新建，社区环境崭新亮相，人车分流，景观喷泉，首华物业管理，严格负责，对门是北师大家属区，人文素质高。
                  ","
                    房子有电梯，东北向，楼下有无障碍通道，老人或是小孩都不用担心上楼的问题。
                  ","
                    满五年唯一的央产房，中影集团洗印厂的宿舍。产权清晰，没有纠纷。
                  ",,,,
1,['双榆树榆苑公寓满五唯一诚心出售'],1050,99151,"['海淀', '双榆树']",2室2厅1厨1卫,高楼层 (共10层),105.9㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2023-08-14,央产房,2001-12-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一公房，税费少，带电梯，大客厅
                  ","
                    榆苑公寓小区一共4栋楼，1号楼在双榆树北路北侧，2-4在南侧，1、2号楼有电梯，本房在二号楼，远洋物业，物业管理好楼道干净整洁，是四个楼里最hao的一栋，建成年代1998-2002
                  ","
                    地理位置优越， 购物休闲有：沃尔玛、苏宁易购、当代商场，双安商场等。医院有：海淀医院、中关村医院、北医三院。小区交通便利，10号线知春里地铁站，知春东里公交车站，开车可直接上知春路，小区东侧中关村东路连接北三环和北四环
                  ","
                    出小区有地铁10号线知春里站约550米的距离（此数据来源于百度地图）； 公交车站有知春里东站（304路、386路、579路、601路、653路、671路、79路等）和白塔庵站（323路、660路、86路、特19路等）出行方便；
                  ",,,,
2,['富丽小区 四居室 南北通透 满五年 低密度 使用面积大'],1750,115971,"['海淀', '紫竹桥']",4室2厅1厨2卫,中楼层 (共7层),150.9㎡,平层,暂无数据,板楼,西南 北,混合结构,简装,一梯两户,集中供暖,无,2023-08-14,央产房,2000-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    紫竹桥 富丽小区 四居 2000年分房 满五年 公房 ，停车方便
                  ","
                    富丽小区是公房小区，1999年建成，2000年入住，一共6栋楼，4栋板楼2栋塔楼，密度低，楼间距相对比较大，低楼层采光也无遮挡。小区管理严格，地面停车位相对充足。
                  ","
                    小区人员素质高，小区户数少，密度低，适合老人带孩子居住，交通出行方便，居住舒适。
                  ","
                    生活便利，出小区往东路口就有公园北洼园，物美；银行有建设银行、中信银行、北京银行；医院有：空军总医院、海军总医院、466航医；北洼路上有麦当劳、呷哺呷哺、京味斋、巫山烤鱼等特色餐馆，能满足生活各种需求。
                  ",,,,
3,['满五年的成本价 随时可以看房中间楼层无遮挡'],495,82915,"['海淀', '马连洼']",2室1厅1厨1卫,中楼层 (共6层),59.7㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-08-18,已购公房,2008-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年成本价，看房比较方便，中间楼层，随时可以签约
                  ","
                    小区一共是有29栋楼，楼间距在40到60米，前后采光没有问题，小区是集中供暖，停车的话是地上停车，基本都有位置，小区进出主要是小区北门，还有一个小西门，小区户型主要是1居到4居，现在居住人群基本是软件园员工或者陪读的家庭。
                  ","
                    中间楼层适合各年龄段的购买者，成本价刚需考率的比较多，南北通透通风采光好，小区出门就是公交站，出行也比较方便。
                  ","
                    房子是1994年的，南北户型，主卧室带一个阳台，厨房在北边也有一个阳台，客厅是朝南有窗户的，进门的位置有个小的餐厅，人少的话也可以用餐，卫生间也是比一般的户型要好。
                  ","
                    房子是老式装修，当年也是实木材质装修，如果要求不高可以做一下厨房和卫生间，刷一下墙就可以了。现在链家已经有装修团队，如果想提前了解装修也可以随时联系我。
                  ",,,
4,['新建宫门路35号院 南北双阳台  通透采光充足视野好'],668,106574,"['海淀', '颐和园']",2室1厅1厨1卫,顶层 (共4层),62.68㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023-08-19,已购公房,2020-08-31,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一 公房 南北通透 采光充足 视野好
                  ","
                    小区总高为4层的小楼，是单位分房，低密度，绿化好，有颐和园，海淀公园，大环境好，空气清新，居住安静
                  ","
                    南北全明格局，主卧带阳台朝南，次卧室朝北，厨房带阳台卫生间朝北，卫生间有明窗不存味道，房屋南北通透，开窗有自然风，比较舒适
                  ","
                    颐和园公园新建宫门距小区南门150米，海淀公园距小区1000米，万柳柳浪高尔夫球场1000米，西苑医院直线距离1200米，工商银行 ，邮政储蓄距银行离1200米，麦德龙超市距离1300米（以上数据均为百度地图实际测量数据）
                  ","
                    业主单位分，自住简单装修，现在卖房改善换三居室的，基本随时可看房，楼层光线好，适合有老人和小孩的家庭居住
                  ",,,
5,['乐府江南 2室1厅 东北'],830,98098,"['海淀', '田村']",2室1厅1厨2卫,高楼层 (共9层),84.61㎡,平层,70.84㎡,板楼,东北,钢混结构,简装,一梯三户,集中供暖,有,2023-08-21,商品房,2011-04-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,
6,['万寿路西街11号院 楼龄新 小两居'],764,107895,"['海淀', '万寿路']",2室1厅1厨1卫,高楼层 (共6层),70.81㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,2023-08-19,已购公房,2019-01-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年公房，产权清晰，楼龄新，配套设施齐全，交通便利
                  ","
                    本小区是海淀教委和育英教职工家属楼，分为北院和南院共9幢楼，1.2.3.4.5.9号楼在南院，6.7.8号楼在北院，板楼跟矮塔楼两种结构，小区人文素质高，居住人群单一，出行便利
                  ","
                    此房为东西通透两室一厅，主卧室和客厅朝西，站在主卧室阳台可以看到育英校内，楼层好，无遮挡，有19平米的客厅，诚意出售，业主随时签约
                  ","
                    本房已购公房产权,购房成本低,产权清晰，无抵押贷款，家人意见统一，诚心出售。
                  ","
                    小区位于西三环与西四环之间，公交有624路，77路，32路，78路，373路等多条路线，四通八达出行便利。
                  ",,,
7,['A区平层大三居 落地窗 视野好'],1520,91160,"['海淀', '西二旗']",3室2厅1厨2卫,中楼层 (共15层),166.74㎡,平层,141.24㎡,板楼,东 南 北,钢混结构,简装,两梯三户,集中供暖,有,2023-08-03,商品房,2009-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，全明格局，没有浪费空间，高楼层视野棒。
                  ","
                    领秀新硅谷是五环外的别墅区，人文素质高，小区环境优美，户型丰富，从小到开间大到独栋别墅。距离西二旗城铁站784米，上五环也很方便。小区物业管理严格，24小时安保。
                  ","
                    双卧朝南，主卧带卫生间，主卧室南北通透，还带全景落地阳台，朝东向，景观视野好。
                  ","
                    业主卖房为了变现，房子没有抵押，产权清晰，随时签约，价格根据付款方式可谈。
                  ","
                    银行：建设银行，工商银行、光大银行、中国银行等；商场：蓝岛百货、美廉美、沃尔玛、五彩城、上地华联、翠微百货等；医疗：上地医院，清河医院、二炮门诊等；
                  ",,,
8,['永金里小区  满五唯一商品房  带电梯 高楼层 采光好'],860,87577,"['海淀', '五棵松']",2室2厅1厨1卫,高楼层 (共12层),98.2㎡,平层,80.98㎡,塔楼,南,钢混结构,简装,两梯九户,集中供暖,有,2023-08-05,商品房,2010-05-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一商品房，高楼层，电梯直达，采光好，视野广。
                  ","
                    永金里小区位于西四环中路和阜石路西南角300米，沿着永定河呈扇形分布，整个小区不临街安静，总共15栋住宅楼和一栋物业楼，保安24小时执勤，停车方便，管理完善配套齐全，有永辉、匠心工坊、服务驿站，小区有花园、乒乓球场、老年门球场、健身场所等
                  ","
                    小区共15栋住宅楼，大部分是单位公房，保安24小时执勤，管理完善，有乒乓球场、永辉、地上固定租赁车位1800元/年，地下固定租赁车位5000元/年，有蓝色港湾、华熙live购物商场、五棵松体育馆、301医院、家乐福等生活方便.
                  ","
                    永金里小区位于地铁1号线五棵松站北边1600米，离定慧桥南公交站台368米（此数据来自百度地图）有56路、481路、611路、982路等公交经过此地，开车出小区可直接上阜石路或者四环，交通便利。
                  ",,,,
9,['君安家园西区 3室1厅 南 西 北'],880,61099,"['海淀', '清河']",3室1厅1厨2卫,中楼层 (共20层),144.03㎡,平层,120.81㎡,塔楼,南 西 北,钢混结构,精装,两梯六户,自供暖,有,2023-08-09,一类经济适用房,2008-07-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,
