,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,税费解析,装修描述,售房详情,户型介绍,交通出行,别墅类型,周边配套,权属抵押
0,['倒座庙合建楼 苏州街地铁口一居室'],570,142858,"['海淀', '苏州桥']",1室1厅1厨1卫,低楼层 (共6层),39.9㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,2023/2/10,商品房,2015/4/23,普通住宅,满五年,共有,"
                                有抵押 50万元 银行 业主自还
                              ",已上传房本照片,"
                    低楼层，朝南，明厨明卫，近地铁，无遮挡
                  ","
                    此房是低楼层，不用爬楼，适合一家三口或者老人居住，没有遮挡，阳光充足，交通方便，出小区就是苏州街地铁口。
                  ","
                    全南向一室一厅的房子，明厨明卫通风采光好，门朝北开，可以做个子母门通风效果好
                  ","
                    房子产权清晰，夫妻双方的房本，还有一点银行贷款，没有纠纷，业主稳定签约。
                  ",,,,,,,
1,['海淀 鑫雅苑新小区 业主诚心出售 靠谱签约满五唯一'],1020,95052,"['海淀', '皂君庙']",2室2厅1厨1卫,中楼层 (共20层),107.31㎡,平层,暂无数据,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,2022/3/5,商品房,2010/12/28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    店长推荐-三环内2000年 商品房社区 视野好采光足 税费少方便看房
                  ","
                    小区是2000年的商品房小区，环境很好，小区内部有花园，老人带孩子也有遛弯儿的地方，比较方便生活。小区位置好，交通也很便利
                  ","
                    此房是正规两室两厅格局，房子户型方正，没有浪费的地方，并且厨房卫生间都是有窗户的格局，通透性好一些，并且楼层高，采光视野都是很好的。皂君庙这一块只有这个小区的塔楼是明厨明卫的。
                  ","
                    房子是商品房，满五年唯一住房，税费成本低，购房成本少，适合贷款客户。
                  ","
                    房子视野很好，视野开阔，心旷神怡，在卧室、客厅都可以看到地球上昂贵的麦田---农科院试验田。
                  ",,,,,,
2,['牡丹园塔院小区精装修南北通透两居室采光充足视野开阔'],620,105317,"['海淀', '牡丹园']",2室1厅1厨1卫,高楼层 (共6层),58.87㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/3/2,商品房,2017/4/18,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    此房是南北通透两居室精装修社区安静采光充足视野开阔
                  ","
                    此房适合刚需客户楼龄也比较信后期换房不影响贷款年限，在牡丹园旁边上班族以及北医三院医生、大唐电信员工和10号线通勤人员。
                  ","
                    小区南侧通过天桥即为免费的元大都遗址公园，环境优美，春有百花秋有月，夏有凉风冬有雪。北侧是北医三院，多路公交线路，出行便利，本房东侧距离翠微百货步行约500米（数据来源于百度地图），小区内部有菜市场，水果店等可满足日常生活所需。
                  ","
                    交通便利：1.公交：小区南北门均有多路公交车通行，21、653、94、579、658、601、47，331路等公交线路；2.地铁：步行910米到地铁10号线、（在建）昌平南延线西土城站B口；步行714米到地铁10号线、19号线牡丹园站A口。（以上数据参考腾讯地图）。
                  ",,,,,,,
3,['上林溪  满五年   全明格局   不临街'],1350,96477,"['海淀', '安宁庄']",3室1厅1厨2卫,低楼层 (共21层),139.93㎡,平层,114.23㎡,板塔结合,南 东 北,钢混结构,其他,两梯四户,集中供暖,有,2023/1/11,商品房,2017/4/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年且是家庭名下唯一住宅，首套只有1.5%的契税。
                  ","
                    小区总共24栋住宅，其中一区9栋楼，二区8栋楼，三区7栋楼。一区是两梯四户。
                  ","
                    房子适合首付少的人群，首套可以贷款287万（考虑税费合适情况下），税费6.645万；二套可以贷款177万（考虑税费合适情况下），税费13.29万。
                  ","
                    房子没有抵押，没有户口。产权清晰干净，上林溪小区里有一个幼儿园。
                  ",,,,,,,
4,['永泰东里 满二年成本价  精装修  无遮挡 紧挨公园'],428,73768,"['海淀', '清河']",2室1厅1厨1卫,顶层 (共6层),58.02㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,2022/11/4,已购公房,2020/11/2,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满二公房 精装修  紧挨公园 无瑕疵 诚心出售
                  ","
                    房子房本日期满二年房公房，唯一住房，首套房子是契税百分之一，个税百分之一。买二套房子的话契税百分之三，个税百分之一。公房个税是百分之一缴纳的，所以节省购房成本，并且比商品房贷款多，减轻首付压力。
                  ","
                    业主五年装修的，房子一直自己住，保持的干净整洁，省去装修的成本，拎包就可以入住
                  ","
                    房子是产权清晰，没有纠纷，没有抵押，家里售房意见同意，看上房子可以面谈，诚心出售。
                  ",,,,,,,
5,['西直门商圈，紫御府，商品房，闹中取静，跃层。'],5500,97158,"['海淀', '白石桥']",6室3厅1厨5卫,底层 (共11层),566.09㎡,平层,461.04㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2019/8/4,商品房,2013/12/6,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    感谢您对紫御府楼盘的关注，紫御府大户型复式。
                  ","
                    紫御府，又称紫瑞嘉园，2008年开盘，2010年入住，是金力集团倾力打造的京西区域珍藏级别典型中式住宅，采用传统的中式装修与国际品牌相互结合，多次获得京城区域楼盘标杆，同时也是金力集团从餐饮服务业转战地产业标准性楼盘代表，开发商直属的物业公司。
                  ","
                    向您介绍一下房屋的布局，您开到的这套房子面积566.09平米，是101号，含地下，201号面积441.55平米，两套面积之和为：1007.64平米，一层，二层挑空，层高6.5米，不能单独分割出售，两个房本，需要两个购房指标，有两个车位配比。
                  ","
                    房号101，面积566.09平米，满五年，不唯一，原值1350万左右，二套契税约100万，增值税及附件约120万左右，个税约300万左右，本套总税费500万左右，以上仅供参考，具体以实际缴纳为准。
                  ",,,,,,,
6,['悦园，2008年商品房社区，南北通透有电梯，一梯两户'],880,113666,"['海淀', '魏公村']",2室1厅1厨1卫,低楼层 (共11层),77.42㎡,平层,61.83㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,2023/5/20,商品房,2014/4/30,普通住宅,满五年,非共有,"
                                有抵押 120万元 业主自还
                              ",已上传房本照片,"
                    2008年商品房社区，南北通透两居有电梯带正规客厅。一梯两户
                  ","
                    小区建成于2008年，比较新的商品房社区一共两栋楼，1号楼总高11层配有电梯，2号楼总高6层。北京正阳置地房地产开发，北京亿多物业管理物业费3.6元品质高，小区总计车位充足只有业主能停，租赁地上固定车位600元一个月。
                  ","
                    房子是正规的两居室，主卧朝南带阳台，次卧也是朝南的，卫生间4.9平米可以做成干湿分离模式空间足够使用。客厅朝北带阳台20平米左右。厨房在进门的左手边4.6平米。房子的客厅和卧室南北对流通风效果好，楼层适中采光没有任何遮挡。
                  ","
                    房子是满五年唯一的商品房，交易只产生契税，首套1%，二套3%。购房成本低
                  ","
                    公交出行：为公桥公交站距离小区259米，有多路公交车。地铁出行：16号线万寿寺站851米（高德地图测算）4号线魏公村站距离小区1.7千米（高德地图测算）。驾车出行：出小区即可上西三环出行十分便利。小区北侧三百米是北外东校区对外开放，可以散步，游泳
                  ",,,,,,
7,['八一家属院 南北通透全明格局 精装保持好 可拎包入住'],770,134498,"['海淀', '苏州桥']",2室1厅1厨1卫,底层 (共6层),57.25㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023/4/8,商品房,2015/12/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    八一家属院 南北通透两居 全明格局 精装保持好 干净整洁 采光好
                  ","
                    房子及小区前后左右都不临街，万籁无声，进入小区一切显得那么安谧！家里有老人也不用担心楼层问题，采光好！就近陪读及工作生活人士均可！
                  ","
                    北京大学第三医院、北京大学第三医院海淀院区、中国中医科学院西苑医院、当代商场、双安商场、家乐福、物美、麦德龙、城乡购物、光大银行、建设银行、工商银行、交通银行、中国银行、平安银行等。
                  ","
                    房子权属干净，没有抵押，没有质押（银行及个人抵押均没有），可放心随时交易！
                  ","
                    开车出行：从小区西门均在500米可以上北三环和北四环，出行方便！地铁：地铁10号线、16号线、4号线、香山线。公交线路：302路;362路;534路;563路;608路;610路;651路;664路;671路;304路;307路;361路;386路;424路;528路;613路;630路;644路;专线26路;夜9路等
                  ",,,,,,
8,['邻河而建、欧式风格园林、南北通透三居室、有产权车位'],1920,126767,"['海淀', '定慧寺']",3室2厅1厨2卫,低楼层 (共26层),151.46㎡,平层,114.02㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023/6/30,商品房,2011/3/10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    视野开阔、南北通透三室两厅双卫，可看昆玉河、西山 无遮挡
                  ","
                    南侧昆玉河水系，东侧电视塔，区域人文环境很好。小区占地43000平方米，人车分流，绿化40%，内部环境也很好。
社区环境：欧式风格园林，依河而建、如鱼得水，楼体新古典主义风格、玻璃幕墙外立面
                  ","
                    此房源为南北通透三室两厅两卫户型，户型布局合理，无任何浪费面积。业主一直自住用房，从未出租过，产权清晰，平时看房方便，随时可以签约，视野开阔，采光充足，无任何遮挡。
                  ","
                    小区南侧是物美超市、翠微百货、凯德晶品，北侧是华光商场和大董烤鸭，大型购物和宴请方便。小区自身底商含阔小超市、药店、青山运动猿健身房等，日常生活方便。
小区北侧是空军总医院，三甲医院；南侧是北京市水利医院，二甲医院，日常就医方便,,,
                  ","
                    位于海淀区、西三环，地处在西三环西侧，阜成路南侧，蓝靛厂南路东侧，复兴路北侧，小区开车出行的通达性很好。
小区北侧是地铁10号线西钓鱼台地铁站和八里庄桥公交站，步行370米。北侧是西钓鱼台公交站，步行400米。小区的公共交通很便利。
                  ",,,,,,
9,['2009 中海开发 北邮旁 管理好 地下停车方便'],595,97494,"['海淀', '小西天']",2室1厅1厨1卫,高楼层 (共21层),61.03㎡,平层,暂无数据,塔楼,南 西,钢混结构,精装,四梯二十户,集中供暖,有,2023/5/10,商品房,2017/2/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    中海物业管理好，满五年唯一，视野好，停车方便，
                  ","
                    1.学院派小区管理好，中海宏洋物业，物业费3.38元。 2、小区内24小时保安值班。 3、每栋楼都有单独的管家，管理好。 4.小区有3000平米学院派物美卖场，上海银行等。
                  ","
                    适合年轻人居住，生活便利，交通便利，2009年建成，中海物业管理，楼道每天有人打扫，地下停车位充足，适合有车家庭。
                  ","
                    1.公交站有四个分别是明光桥西站，明光村站，明光桥南站，明光桥北站。 2.公园：元大都遗址公园 3.地铁：西直门站，大钟寺站，蓟门桥站。
                  ","
                    小区位于明光桥西北角，交通便捷，停车方便，明光村公交站有：21路，304路，375路，387路，392路，606路，632路，693路，694路，特15路等；
                  ",,,,,,
