,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,售房详情,适宜人群,户型介绍,装修描述,权属抵押,税费解析,别墅类型,用水类型,用电类型,燃气价格
0,['满五唯一，套一改套二，近地铁金沙滩，有钥匙随时看房'],77,10419,"['黄岛', '安子片区']",2室1厅1厨1卫,中楼层 (共28层),73.91㎡,平层,67.4㎡,板楼,南,钢混结构,精装,两梯六户,集中供暖,有,2021/11/21,商品房,2012/3/22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    怡情海岸 精装未住 满五唯一省个税 套一改套二 交通便利
                  ","
                    怡情海岸小区，项目位于青岛开发区西海岸，西临凤凰山千亩山林坡地，薛家岛湾，南望长3.5公里，宽300米的月牙形金沙滩。长江路与嘉陵东路交汇处，与青岛主城区隔海相望。
                  ","
                    薛家岛农贸市场、巧克力购物广场、利群购物广场，车程可方便到达长江中路CBD、佳世客、瑞泰利群购物广场、家佳源等商场
                  ","
                    楼下就有803路 27路 802路 19路 808路等公交站点，交通生活便
                  ",,,,,,,,,,
1,['此房满五唯一无个税，全明通透，采光充足，视野开阔'],198,15986,"['黄岛', '江山南路']",3室2厅1厨2卫,中楼层 (共31层),123.86㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2023/8/17,商品房,2011/8/18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一无个税，全明通透，采光充足，视野开阔，
                  ","
                    于2011年建成，开发商是青岛海西城投有限公司，由青岛金和海宇物业管理有限公司管理，物业费是1.6元/平，小区停车位充足，出行方便，小区内一共10栋高层，小区绿化高，空气清新，居住舒适度高
                  ","
                    西门有薛辛庄农贸市场价美品优，往西步行428米可达中泽商场，往南步行1.3公里可达大润发购物广场（试营业中）吃喝玩乐一体的大型综合商场。驾车2.6公里可以到达家佳源购物商圈，驾车3.9公里可以到达吾悦广场购物广场(数据均来源于高德地图)
                  ","
                    小区距离距离富春江路公交站步行70米，黄岛21路开往灵山卫枢纽站和官厅市场，黄岛308路开往青大医院和西海岸汽车总站，
小区距离6号线（在建中）富春江路九顶山站步行141米，距离1号线（已交付使用）步行距离1.4公里(数据均来源于高德地图),
                  ",,,,,,,,,,
2,['采菊苑 套三，诚意出售 看房方便，看房方便。'],328,28230,"['崂山', '北村']",3室2厅1厨2卫,中楼层 (共16层),116.19㎡,平层,94.19㎡,塔楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023/8/16,商品房,2014/11/27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子南北通透，东明厅， 位置安静 低楼层 业主诚意出售
                  ","
                    2011年建成的小区 小区11栋小高层 小区东侧是劲松六路 配套的学 校 医院 商场都很方便
                  ",,,"
                    业主最初是拆 迁返还的房子 没有银行抵押 产权清晰 诚意出售。。
                  ","
                    房子目前空置诚意出售于多余房产变现适合想要改善的小区业主，房子位置很好。
                  ",,,,,,,,
3,['天泰新上套三，湖景房，全明户型 视野好'],206,16846,"['黄岛', '天泰']",3室1厅1厨2卫,中楼层 (共11层),122.29㎡,平层,104.64㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,有,2023/8/19,商品房,2010/8/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    天泰新上套三，湖景房，全明户型 视野好，诚心出售
                  ","
                    天泰阳光海岸小区里有公园，还有网球场，小区里有挺多市方便您的生活，小区里自带有 地上地下车位，方便您的出行。出小区东南门就是家佳源，利群，麦凯乐，佳世客等购物商城，还有公交站，汽车站。
                  ","
                    公园：唐岛湾公园。 商场：家佳源、佳世客、麦凯乐、多元小商品城。 交通：4路通金沙滩，6路通山东科技大学和小珠山。有长途汽车站，门口是隧道3始发站
                  ","
                    小区位于家佳源北200米，小区出东南门20米有公交站，开发区18路，31路等多条公交站从此通过，方便您的出行。往西300米还有长途汽车站，出行也比较方便。400米内还有隧道3路始发站，到青岛也方便。（数据来源于百度地图
                  ",,,,,,,,,,
4,['杭州花园，满五唯一，楼层好，不靠路，通透三居室。'],186,21929,"['市北', '海云庵']",3室1厅1厨1卫,中楼层 (共6层),84.82㎡,平层,74.07㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2023/8/18,商品房,2012/12/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，公维交了，楼层好，不靠路，户型通透
                  ","
                    杭州花园是2005年的封闭式小区，绿化高，由16栋多层组成，百通开发，有地下停车场，口碑一直不错。小区临交通主干道，交通便利，配套齐全。
                  ",,,"
                    售房原因：业主属于改善换房，计划在距离老人近些。
房屋现状:随时可以着房，业主随时可以签约。
                  ",,"
                    竣工日期是2004年12月，房龄较新，小区环境优美，绿化高，配套完善。经典户型，无浪费面积。
                  ",,,,,,,
5,['多层洋房大平层 满五唯一装修精致，带高档家具家电。'],135,10475,"['城阳', '夏庄']",3室2厅1厨2卫,高楼层 (共6层),128.88㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,集中供暖,无,2023/8/18,商品房,2018/9/17,普通住宅,满两年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,"
                    房子是装修精致拎包入住，还带高档家具家电装修花了接近70万
                  ","
                    小区是2011年建立。小区绿化不错。环境优美。小区门口就是大集。5天一个集买菜水果方便。
                  ","
                    小区门口就是大集古镇集。门口有市场。3公里内衣食住行全部能解决。
                  ","
                    交通方便，离公交车站大约有500米，有多路公交车。有938，129等多路公交车。
                  ",,,,,,,,,,
6,['安居小区榕江路套三房公摊小南北通透格局'],135,13953,"['黄岛', '江山南路']",3室2厅1厨1卫,低楼层 (共6层),96.76㎡,平层,83.07㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/16,经济适用房,2013/9/27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    安居小区榕江路套三房公摊小南北通透格局
                  ","
                    小区位于峨眉山路与榕江路的交汇处，主要是由多层社区组合而成，小区有个南门，出入比较方便
                  ",,"
                    小区位于峨眉山路与昆仑山路中间，出行方便，小区东门出去是峨眉山路，28路59路、22路经过，小区西门出去便是203、309路、昆仑山路。距离地铁一号线4站地，无论是去保税区还是积米崖、灵山卫，比较方便
                  ",,"
                    房子是多层1楼，适合刚需或者改善人群，有暖气和燃气，无论自住还是出租都可以
                  ",,,,,,,,
7,['一楼带负一带院，全屋空调安装好了，水电改好了'],160,13131,"['即墨', '即墨创智新区']",4室2厅1厨2卫,低楼层 (共6层),121.85㎡,平层,暂无数据,暂无数据,南,钢混结构,其他,一梯两户,集中供暖,暂无数据,2023/8/18,商品房,2021/1/22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    一楼带负一层带院，6层电梯洋房，花10万改好了水电，安装了空调
                  ","
                    小区位于鹤山路与长广路交汇处，由青岛新兴基业房地产开发有限公司建成，物业是北京博雅物业
                  ",,,,"
                    小区绿化环境不错，有联排，洋房，适合一家人，老人，小孩儿居住
                  ","
                    房子是四室两卫，两个南向卧室，南厅。电梯洋房，楼间距大，采光充足
                  ",,,,,,,
8,['好房推荐，新上经典复式套四，前后不临路，近80万精装'],748,41786,"['崂山', '雕塑园']",4室2厅1厨3卫,低楼层 (共4层),179.01㎡,复式,157.73㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2023/8/11,商品房,2017/6/9,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新上经典复式套四，前后不临路，精装修，
                  ",,,,,"
                    此房是复式结构，比较适合家里人口多，有老人有孩子的，前后不靠路
                  ","
                    此房是小区的经典复式户型，客厅朝南，一楼带一个北卧。楼上是两南卧，一北卧
                  ","
                    此房是业主的精致装修，内部保养的很好，看对眼的客户基本就可以直接入住了
                  ",,,,,,
9,['融创都会中心 3室2厅 南 北'],245,21422,"['李沧', '下王埠']",3室2厅1厨2卫,高楼层 (共27层),114.37㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2023/8/19,商品房,2021/7/1,普通住宅,满两年,非共有,"
                                有抵押 135万元
                              ",已上传房本照片,,,,,,,,,,,,,,
